Product Name,Score,Normalized Score (%)
AMD RYZEN 7 8700F,3891,31.88
INTEL CORE 7 150U,3891,31.88
INTEL CORE I5-13400,3873,31.73
INTEL CORE I5-12500,3848,31.53
AMD RYZEN 9 3900,3796,31.1
INTEL CORE I5-12600T,3795,31.09
AMD RYZEN 5 PRO 7640HS,3789,31.04
INTEL CORE I5-12400F,3785,31.01
AMD RYZEN 7 PRO 8700GE,3770,30.89
AMD RYZEN 7 8745HS,3753,30.75
INTEL CORE I7-1260U,3698,30.3
AMD RYZEN 7 PRO 5845,3698,30.3
AMD RYZEN 9 7940HS,3686,30.2
AMD RYZEN 5 3500X,3679,30.14
AMD RYZEN AI 7 PRO 360,3678,30.13
INTEL CORE I7-1365U,3672,30.08
INTEL CORE I5-12400,3668,30.05
AMD RYZEN 5 7640HS,3668,30.05
AMD RYZEN 5 7640U,3645,29.86
AMD RYZEN 5 3600X,3633,29.76
AMD RYZEN 9 8945HS,3630,29.74
INTEL CORE I7-12700T,3616,29.62
AMD RYZEN 7 5800,3539,28.99
INTEL CORE I5-13600H,3538,28.99
AMD RYZEN 9 PRO 7940HS,3536,28.97
AMD RYZEN 7 7840HS,3535,28.96
AMD RYZEN 5 3600,3532,28.94
INTEL CORE ULTRA 5 135H,3497,28.65
AMD RYZEN 5 8540U,3495,28.63
AMD RYZEN 5 8645HS,3495,28.63
AMD RYZEN 7 8845HS,3487,28.57
AMD RYZEN 7 PRO 8840HS,3469,28.42
INTEL CORE I7-1355U,3463,28.37
INTEL CORE I5-12600HX,3459,28.34
INTEL CORE ULTRA 5 125H,3433,28.13
AMD RYZEN 5 8640U,3427,28.08
AMD RYZEN 7 7840H,3420,28.02
INTEL CORE I5-13400T,3409,27.93
AMD RYZEN 7 8845H,3407,27.91
AMD RYZEN 9 8945H,3406,27.9
INTEL CORE ULTRA 7 258V,3404,27.89
INTEL CORE I3-1305U,3402,27.87
AMD RYZEN 7 3800XT,3382,27.71
INTEL CORE I5-1240U,3376,27.66
AMD RYZEN 7 PRO 7840HS,3373,27.63
AMD RYZEN 9 7940H,3351,27.45
AMD RYZEN 9 3950X,3332,27.3
INTEL CORE I5-14600,3323,27.22
AMD RYZEN 5 PRO 7540U,3322,27.22
INTEL CORE I5-1345U,3310,27.12
AMD RYZEN 5 PRO 3600,3308,27.1
AMD RYZEN 5 8640HS,3299,27.03
INTEL CORE I9-11900KB @ 3.30GHZ,3279,26.86
AMD RYZEN 5 7540U,3278,26.86
AMD RYZEN 7 7840S,3277,26.85
INTEL CORE ULTRA 7 256V,3276,26.84
INTEL CORE I5-12500T,3267,26.77
INTEL U300,3266,26.76
AMD RYZEN 7 7840U,3262,26.72
AMD RYZEN 7 8840U,3250,26.63
INTEL CORE I5-1335U,3224,26.41
AMD RYZEN 7 PRO 7840U,3216,26.35
INTEL CORE I7-1250U,3212,26.31
AMD RYZEN AI 9 HX 370,3207,26.27
INTEL CORE I9-11980HK @ 2.60GHZ,3197,26.19
INTEL CORE I7-11700B @ 3.20GHZ,3184,26.09
INTEL CORE I5-12400T,3178,26.04
INTEL CORE ULTRA 5 134U,3172,25.99
AMD RYZEN 7 3800X,3172,25.99
AMD RYZEN 7 8840HS,3146,25.77
AMD RYZEN 5 PRO 5650G,3128,25.63
AMD RYZEN AI 9 HX 375,3120,25.56
INTEL CORE I5-13500H,3111,25.49
AMD RYZEN 7 3700X,3073,25.18
AMD RYZEN 9 6900HX,3072,25.17
INTEL CORE I7-1255U,3068,25.14
INTEL CORE I5-12600H,3066,25.12
INTEL CORE I7-1360P,3063,25.09
AMD RYZEN 7 PRO 3700,3055,25.03
INTEL CORE I5-1230U,3053,25.01
