Product Name,Original Price,Discounted Price
VGA MSI RTX 4070 Ti Super 16GB Gaming X Slim White,32.999.000,26.999.000
VGA PNY GeForce RTX 4070 SUPER 12GB VERTO Overclocked Dual Fan DLSS 3,19.999.000,17.499.000
VGA MSI GeForce RTX 4080 SUPER 16GB VENTUS 3X OC,35.999.000,29.999.000
VGA Leadtek RTX 2000 ADA 16GB,23.999.000,23.659.000
VGA Asus PRIME RTX 4070 SUPER 12GB OC GDDR6X (PRIME-RTX4070S-O12G),22.999.000,20.499.000
VGA Asus PRIME RTX 4060TI OC 8GB (PRIME-RTX4060TI-O8G),13.999.000,12.199.000
VGA MSI GeForce GTX 1660 SUPER GAMING Z PLUS,17.999.000,7.999.000
VGA Leadtek WinFast RTX 3060 LHR HURRICANE 12GB GDDR6 WHITE EDITION,13.999.000,10.599.000
VGA Leadtek NVIDIA RTX A5500 24GB GDDR6,149.999.000,104.639.000
VGA MSI RTX 4070 Super 12GB Gaming X Slim,22.999.000,19.999.000
VGA Colorful GeForce RTX 3060 NB DUO 12GB V3 L-V,8.599.000,7.399.000
VGA Gigabyte RTX 4070 Ti Super Windforce 16GB GDDR6X (N407TSWF3 -16GD),26.999.000,25.399.000
VGA Asus PRIME RTX 4070 TI SUPER OC 16GB (PRIME-RTX4070TIS-O16G),28.999.000,25.999.000
VGA Leadtek WinFast GTX 1660 SUPER HURRICANE 6G,9.999.000,4.999.000
VGA Colorful GeForce RTX 3060 NB 12G-V,14.999.000,11.999.000
VGA Palit GeForce GTX 1650 GP 4GB GDDR6 (NE6165001BG1-1175A),7.499.000,4.099.000
VGA Leadtek NVIDIA T1000 8GB GDDR6,11.999.000,11.629.000
VGA Asus DUAL RTX 4060 Ti 8GB GAMING,14.999.000,11.899.000
VGA Colorful iGame GeForce RTX 4060 Ti Ultra W OC 16GB-V,15.999.000,14.499.000
VGA Asus Dual GTX 1650 OC 4GB DDR6 (DUAL-GTX1650-O4GD6-P-EVO),4.599.000,3.799.000
VGA MSI RTX 4070 Super 12GB Ventus 2X OC,21.999.000,18.599.000
VGA ASUS TUF Gaming GeForce RTX 4070 Ti SUPER 16GB GDDR6X (TUF-RTX4070TIS-16G-GAMING),29.999.000,25.789.000
VGA Asrock Arc A580 Challenger 8GB OC,5.999.000,5.099.000
VGA Asus TUF Gaming GeForce RTX 4090 24GB GDDR6X OG (TUF-RTX4090-24G-OG-GAMING),67.999.000,62.999.000
VGA Gigabyte RTX 4070 Ti Super Windforce MAX OC 16GB GDDR6X (N407TSWF3 MAX OC-16GD),27.499.000,25.599.000
VGA MSI GeForce RTX 4070 VENTUS 2X E1 12GB OC,17.999.000,16.399.000
VGA PowerColor Red Devil Radeon RX 6900 XT 16GB GDDR6 (AXRX 6900XT 16GBD6-3DHE/OC),36.500.000,25.999.000
VGA ASROCK Radeon RX 6600 XT Challenger Pro 8GB OC (RX6600XT CLP 8GO),9.999.000,6.899.000
VGA Gigabyte RTX 4060 Gaming OC 8GB,12.999.000,9.899.000
VGA Gigabyte Radeon RX 7600 Gaming OC 8GB,8.999.000,8.599.000
VGA Gigabyte RTX 4070 Aero OC V2 12GB (N4070AERO OC V2-12GD),23.999.000,19.299.000
VGA MSI RTX 4070 Super 12GB Ventus 2X White OC,21.999.000,18.599.000
VGA Gigabyte GeForce RTX 4080 SUPER WINDFORCE V2 16GB GDDR6X (N408SWF3V2-16GD),39.999.000,32.999.000
VGA PNY GeForce RTX 4080 SUPER VERTO OC 16GB GDDR6X,35.999.000,29.999.000
VGA Gigabyte RTX 4070 WINDFORCE 2X OC 12G (N4070WF2 OC-12GD),17.999.000,17.599.000
VGA GIGABYTE GV-N1030OC-2GI (GeForce GT 1030),3.099.000,2.199.000
VGA SAPPHIRE NITRO+ Radeon RX 6900 XT 16G GDDR6,40.999.000,35.999.000
VGA Colorful iGame GeForce RTX 3060 LHR Advanced OC 12G-V,15.999.000,12.999.000
VGA SAPPHIRE PULSE Radeon RX 6600 8GB GDDR6,6.799.000,5.999.000
VGA MSI Radeon RX 6400 AERO ITX 4GB GDDR6,3.999.000,3.199.000
VGA Asus DUAL RTX 4060 Ti OC 8GB GAMING,14.999.000,11.999.000
VGA Gigabyte RTX 4060 Eagle OC 8GB,11.999.000,8.879.000
