Product Name,Original Price,Discounted Price
"CPU INTEL CORE I7-12700F (UP TO 4.8GHZ, 12 NHÂN 20 LUỒNG, 25MB CACHE, 125W) - SOCKET INTEL LGA 1700)",9.399.000₫,6.599.000₫
"CPU INTEL CORE I9-14900 (UP TO 5.8GHZ, 24 NHÂN 32 LUỒNG, 36MB CACHE, 65W) - SOCKET INTEL LGA 1700/RAPTOR LAKE",16.099.000₫,15.399.000₫
"CPU INTEL CORE I5-14600KF (UP TO 5.3GHZ, 14 NHÂN 20 LUỒNG, 24MB CACHE, 125W) - SOCKET INTEL LGA 1700/RAPTOR LAKE",9.599.000₫,5.999.000₫
"CPU INTEL CORE I5-13600KF (3.5GHZ TURBO UP TO 5.1GHZ, 14 NHÂN 20 LUỒNG, 20MB CACHE, 125W) - SOCKET INTEL LGA 1700/RAPTOR LAKE)",8.999.000₫,7.299.000₫
"CPU INTEL CORE I5-13600K (3.5GHZ TURBO UP TO 5.1GHZ, 14 NHÂN 20 LUỒNG, 20MB CACHE, 125W) - SOCKET INTEL LGA 1700/RAPTOR LAKE)",9.699.000₫,7.899.000₫
CPU INTEL CORE I3-12100F (TRAY-KHÔNG TẢN NHIỆT),2.799.000₫,1.799.000₫
"CPU INTEL CORE I5-14500 (UP TO 5.0GHZ, 14 NHÂN 20 LUỒNG, 24MB CACHE, 65W) - SOCKET INTEL LGA 1700/RAPTOR LAKE",7.099.000₫,6.599.000₫
"CPU INTEL CORE I5-13500 (UP TO 4.8GHZ, 14 NHÂN 20 LUỒNG, 24MB CACHE, 65W) - SOCKET INTEL LGA 1700/RAPTOR LAKE)",7.599.000₫,6.399.000₫
"CPU INTEL  PENTIUM GOLD G7400 (3.7GHZ, 2 NHÂN 4 LUỒNG, 6MB CACHE, 46W) - SOCKET INTEL LGA 1700)",0,2.299.000₫
"CPU INTEL CORE I3-12100F (3.3GHZ TURBO UP TO 4.3GHZ, 4 NHÂN 8 LUỒNG, 12MB CACHE, 58W)- SOCKET INTEL LGA 1700)",3.099.000₫,1.999.000₫
"CPU INTEL CORE I3-12100 (3.3GHZ TURBO UP TO 4.3GHZ, 4 NHÂN 8 LUỒNG, 12MB CACHE, 58W)- SOCKET INTEL LGA 1700)",3.799.000₫,2.899.000₫
"CPU INTEL CORE I5-12400 (UPTO 4.4GHZ, 6 NHÂN 12 LUỒNG, 18MB CACHE, 65W) - SOCKET INTEL LGA 1700)",5.699.000₫,3.799.000₫
"CPU INTEL CORE I3-10105F (TRAY, KHÔNG VỎ HỘP)",1.899.000₫,1.549.000₫
"CPU INTEL CORE I5-11400F (TRAY, KHÔNG VỎ HỘP)",3.699.000₫,1.999.000₫
"CPU INTEL CORE I3-12100 (TRAY, CŨ ĐẸP)",3.399.000₫,2.599.000₫
"CPU INTEL CORE I7-12700 (TRAY, CŨ ĐẸP)",8.999.000₫,6.599.000₫
"CPU INTEL CORE I3-10105F (3.7GHZ TURBO UP TO 4.4GHZ, 4 NHÂN 8 LUỒNG, 6MB CACHE, 65W) - SOCKET INTEL LGA 1200",2.299.000₫,1.699.000₫
"CPU INTEL CORE I3-10105 (3.7GHZ TURBO UP TO 4.4GHZ, 4 NHÂN 8 LUỒNG, 6MB CACHE, 65W) - SOCKET INTEL LGA 1200)-(BOX NK)",3.199.000₫,2.499.000₫
"CPU INTEL CORE I5-12600KF (3.7GHZ TURBO UP TO 4.9GHZ, 10 NHÂN 16 LUỒNG, 20MB CACHE, 125W) - SOCKET INTEL LGA 1700)",6.499.000₫,4.499.000₫
"CPU INTEL CORE I3-10105 (3.7GHZ TURBO UP TO 4.4GHZ, 4 NHÂN 8 LUỒNG, 6MB CACHE, 65W) - SOCKET INTEL LGA 1200",3.299.000₫,2.599.000₫
"CPU INTEL CORE I9-12900K (3.2GHZ TURBO UP TO 5.2GHZ, 16 NHÂN 24 LUỒNG, 30MB CACHE, 125W) - SOCKET INTEL LGA 1700/ALDER LAKE)",15.999.000₫,10.599.000₫
"CPU INTEL CORE I5-12600K (3.7GHZ TURBO UP TO 4.9GHZ, 10 NHÂN 16 LUỒNG, 20MB CACHE, 125W) - SOCKET INTEL LGA 1700/ALDER LAKE)",8.299.000₫,5.149.000₫
"CPU INTEL CORE I5-11400 (2.6GHZ TURBO UP TO 4.4GHZ, 6 NHÂN 12 LUỒNG, 12MB CACHE, 65W) - SOCKET INTEL LGA 1200",4.999.000₫,3.899.000₫
"CPU INTEL CORE I3-14100F (UP TO 4.7GHZ, 4 NHÂN 8 LUỒNG, 12MB CACHE, 60W) - SOCKET INTEL LGA 1700/RAPTOR LAKE",3.699.000₫,2.999.000₫
"CPU INTEL CORE I5-10400 (2.9GHZ TURBO UP TO 4.3GHZ, 6 NHÂN 12 LUỒNG, 12MB CACHE, 65W) - SOCKET INTEL LGA 1200",4.699.000₫,3.599.000₫
"CPU INTEL CORE I5-12500 (UPTO 4.46GHZ, 6 NHÂN 12 LUỒNG, 18MB CACHE, 65W) - SOCKET INTEL LGA 1700",5.999.000₫,5.699.000₫
"CPU INTEL CORE I9-12900KS (3.4 GHZ TURBO UP TO 5.5GHZ, 16 NHÂN 24 LUỒNG, 30MB CACHE, 150W) - SOCKET INTEL LGA 1700/ALDER LAKE)",20.999.000₫,12.599.000₫
"CPU INTEL CORE I5-10400F (2.9GHZ TURBO UP TO 4.3GHZ, 6 NHÂN 12 LUỒNG, 12MB CACHE, 65W) - SOCKET INTEL LGA 1200",3.799.000₫,2.699.000₫
"CPU INTEL CORE I9-10900X (3.5GHZ TURBO UP TO 4.5GHZ, 10 NHÂN, 20 LUỒNG, 19.25 MB CACHE, 165W) - SOCKET INTEL LGA 2066)",0,15.599.000₫
"CPU INTEL CORE I7-13700F (UP TO 5.2GHZ, 16 NHÂN 24 LUỒNG, 30MB CACHE, 65W) - SOCKET INTEL LGA 1700/RAPTOR LAKE)",0,8.499.000₫
"CPU INTEL CORE I7-13700 (UP TO 5.2GHZ, 16 NHÂN 24 LUỒNG, 30MB CACHE, 65W) - SOCKET INTEL LGA 1700/RAPTOR LAKE)",0,9.499.000₫
CPU INTEL CORE I7-12700 (TRAY-KHÔNG TẢN NHIỆT),8.999.000₫,6.399.000₫
"CPU INTEL CORE I9-13900K (UP TO 5.8GHZ, 24 NHÂN 32 LUỒNG, 36MB CACHE, 125W) - SOCKET INTEL LGA 1700/RAPTOR LAKE)",17.999.000₫,13.299.000₫
"CPU INTEL CORE I9-14900F (UP TO 5.8GHZ, 24 NHÂN 32 LUỒNG, 36MB CACHE, 65W) - SOCKET INTEL LGA 1700/RAPTOR LAKE",15.399.000₫,14.999.000₫
"CPU INTEL CORE I9-14900KS (UP TO 6.2GHZ, 24 NHÂN 32 LUỒNG, 36MB CACHE, 125W) - SOCKET INTEL LGA 1700/RAPTOR LAKE",19.999.000₫,18.499.000₫
"CPU INTEL CORE I7-13700KF (3.4GHZ TURBO UP TO 5.4GHZ, 16 NHÂN 24 LUỒNG, 24MB CACHE, 125W) - SOCKET INTEL LGA 1700/RAPTOR LAKE)",12.799.000₫,10.199.000₫
"CPU INTEL CORE I5-12400F (UPTO 4.4GHZ, 6 NHÂN 12 LUỒNG, 18MB CACHE, 65W) - SOCKET INTEL LGA 1700)-(BOX NK)",4.399.000₫,2.899.000₫
CPU INTEL CORE I9-13900KS (UP TO 6GHZ 24 NHÂN 32 LUỒNG 36MB CACHE 150W) - SOCKET INTEL LGA 1700/RAPTOR LAKE,21.999.000₫,18.499.000₫
"CPU INTEL CORE I9-13900KF (3.0GHZ TURBO UP TO 5.8GHZ, 24 NHÂN 32 LUỒNG, 36MB CACHE, 125W) - SOCKET INTEL LGA 1700/RAPTOR LAKE)",17.199.000₫,12.499.000₫
