Product Name,Original Price,Discounted Price
CARD MÀN HÌNH MSI RTX 4080 SUPER 16G GAMING X SLIM,36.999.000₫,33.999.000₫
CARD MÀN HÌNH MSI RTX 4070 SUPER 12G GAMING X SLIM,21.999.000₫,19.999.000₫
CARD MÀN HÌNH MSI RTX 4070 VENTUS 3X E1 12G OC,18.999.000₫,17.299.000₫
CARD MÀN HÌNH PNY RTX 4080 SUPER VERTO OC 16GB,35.999.000₫,30.999.000₫
CARD MÀN HÌNH MSI RTX 4080 SUPER 16G VENTUS 3X OC,33.999.000₫,31.999.000₫
CARD MÀN HÌNH MSI RTX 4070 TI SUPER 16G VENTUS 3X OC,30.999.000₫,25.999.000₫
CARD MÀN HÌNH INNO3D RTX 4070 SUPER X3 OC 12GB,18.999.000₫,16.999.000₫
CARD MÀN HÌNH MSI RTX 4060 VENTUS 2X BLACK 8G OC,9.999.000₫,7.999.000₫
CARD MÀN HÌNH PNY RTX 4060 8GB XLR8 GAMING VERTO OVERCLOCKED DUAL FAN,9.499.000₫,7.699.000₫
CARD MÀN HÌNH MSI RTX 4070 SUPER 12G VENTUS 3X OC,21.999.000₫,18.999.000₫
CARD MÀN HÌNH INNO3D RTX 4070 TI SUPER X3 OC 16GB,25.599.000₫,23.299.000₫
CARD MÀN HÌNH MSI RTX 4070 VENTUS 2X E 12G OC,17.999.000₫,16.399.000₫
"CARD MÀN HÌNH MSI RTX 3060 VENTUS 2X OC 12 GB (12GB GDDR6, 192-BIT, HDMI +DP, 1X8-PIN)",8.999.000₫,7.749.000₫
CARD MÀN HÌNH MSI RTX 4060 TI VENTUS 3X 16G OC,16.599.000₫,14.499.000₫
CARD MÀN HÌNH PNY RTX 4070 SUPER 12GB VERTO OVERCLOCKED DUAL FAN DLSS 3,19.999.000₫,17.199.000₫
CARD MÀN HÌNH MSI RTX 4060 TI VENTUS 2X BLACK 16G OC,15.999.000₫,13.699.000₫
CARD MÀN HÌNH MSI RTX 4080 SUPER 16G SUPRIM X,48.999.000₫,38.499.000₫
CARD MÀN HÌNH MSI RTX 4060 TI VENTUS 3X E 8G OC,13.699.000₫,12.399.000₫
CARD MÀN HÌNH GIGABYTE RTX 4060 TI AERO OC-8GD,14.999.000₫,12.799.000₫
CARD MÀN HÌNH GIGABYTE RTX 4060 GAMING OC-8GD,N/A,9.899.000₫
CARD MÀN HÌNH GIGABYTE RTX 4070 TI SUPER AERO OC-16G,30.799.000₫,27.999.000₫
"CARD MÀN HÌNH GIGABYTE GT 1030 OC-2GI (2GB GDDR5, 64-BIT, DVI+HDMI)",2.799.000₫,2.199.000₫
CARD MÀN HÌNH INNO3D RTX 4060 TI TWIN X2 16GB,14.999.000₫,12.199.000₫
CARD MÀN HÌNH COLORFUL IGAME GEFORCE RTX 4070 SUPER ULTRA WHITE OC 12GB-V,20.999.000₫,18.999.000₫
CARD MÀN HÌNH GIGABYTE RTX 3050 WINDFORCE OC V2 8G,5.999.000₫,5.599.000₫
CARD MÀN HÌNH COLORFUL IGAME RTX 3060 ULTRA W OC 12G L-V,N/A,8.499.000₫
CARD MÀN HÌNH INNO3D RTX 3060 TWIN X2 12GB,9.499.000₫,7.399.000₫
CARD MÀN HÌNH COLORFUL RTX 3060 NB DUO 12G V2 L-V,N/A,7.399.000₫
CARD MÀN HÌNH COLORFUL IGAME GEFORCE RTX 4070 SUPER NB EX 12GB-V,19.599.000₫,16.999.000₫
CARD MÀN HÌNH ASUS PROART-RTX 4060 TI-O16G,16.599.000₫,14.999.000₫
CARD MÀN HÌNH COLORFUL RTX 4070 NB EX 12GB V2-V,16.999.000₫,15.999.000₫
CARD MÀN HÌNH GIGABYTE RTX 3060 GAMING OC 8GD,9.599.000₫,7.459.000₫
CARD MÀN HÌNH GIGABYTE RTX 4060 WINDFORCE OC-8GD,9.999.000₫,7.999.000₫
CARD MÀN HÌNH GIGABYTE RTX 4080 SUPER WINDFORCE V2-16G,42.999.000₫,32.999.000₫
CARD MÀN HÌNH GIGABYTE RTX 3060 WINDFORCE OC 12G,8.999.000₫,7.749.000₫
CARD MÀN HÌNH GIGABYTE RTX 4070 SUPER GAMING OC-12G,24.999.000₫,21.799.000₫
CARD MÀN HÌNH GIGABYTE RTX 4080 SUPER GAMING OC-16G,43.999.000₫,35.299.000₫
CARD MÀN HÌNH GIGABYTE RTX 3050 WINFORCE OC-6G,5.599.000₫,4.699.000₫
CARD MÀN HÌNH GIGABYTE RTX 4060 AERO OC-8GD,11.999.000₫,10.799.000₫
CARD MÀN HÌNH GIGABYTE RTX 4070 SUPER WINDFORCE OC-12G,21.499.000₫,18.999.000₫
CARD MÀN HÌNH GIGABYTE RTX 4060 TI AERO OC-8GD,14.999.000₫,12.799.000₫
CARD MÀN HÌNH GIGABYTE RTX 4060 GAMING OC-8GD,N/A,9.899.000₫
CARD MÀN HÌNH MSI RTX 3050 VENTUS 2X XS 8G OC,8.999.000₫,5.749.000₫
CARD MÀN HÌNH MSI GTX 1650 D6 VENTUS XS OCV3,4.799.000₫,3.799.000₫
CARD MÀN HÌNH MSI RTX 3050 VENTUS 2X 6G OC,6.999.000₫,4.799.000₫
CARD MÀN HÌNH GIGABYTE RTX 4070 TI SUPER GAMING OC-16G,30.199.000₫,27.399.000₫
CARD MÀN HÌNH GIGABYTE RTX 4070 TI SUPER AORUS MASTER-16G,39.999.000₫,30.999.000₫
CARD MÀN HÌNH GIGABYTE RTX 4080 SUPER AERO OC-16G,45.999.000₫,36.599.000₫
CARD MÀN HÌNH GIGABYTE RTX 4070 TI SUPER EAGLE OC-16G,29.999.000₫,25.699.000₫
CARD MÀN HÌNH ASUS PRIME-RTX 4060 TI-O8G,13.999.000₫,12.199.000₫
CARD MÀN HÌNH NVIDIA T1000 8GB GDDR6,13.699.000₫,11.629.000₫
CARD MÀN HÌNH NVIDIA T400 (4GB GDDR6),5.999.000₫,4.689.000₫
CARD MÀN HÌNH PNY RTX 4060 8GB VERTO DUAL FAN OC WHITE,9.499.000₫,8.399.000₫
CARD MÀN HÌNH PNY RTX 3050 6GB VERTO DUAL FAN,5.599.000₫,4.599.000₫
