Product Name,Original Price,Discounted Price
CARD MÀN HÌNH GIGABYTE AORUS GEFORCE RTX™ 4060 TI ELITE 8GB,13.550.000Đ,13.290.000Đ
CARD MÀN HÌNH GIGABYTE RADEON RX 6500 XT EAGLE 4G,4.190.000Đ,3.890.000Đ
CARD MÀN HÌNH ASUS DUAL RTX 3050 OC 6GB,5.990.000Đ,4.790.000Đ
CARD MÀN HÌNH GIGABYTE GEFORCE RTX­­ 4070 TI GAMING OC 12GB,28.500.000Đ,27.990.000Đ
CARD MÀN HÌNH GIGABYTE AORUS GEFORCE RTX 4070 TI ELITE 12G,35.990.000Đ,29.090.000Đ
CARD MÀN HÌNH MSI GEFORCE RTX 4070 TI GAMING X TRIO 12GB,27.990.000Đ,25.900.000Đ
CARD MÀN HÌNH MSI GEFORCE RTX 4070 TI VENTUS 3X 12GB OC,25.990.000Đ,23.390.000Đ
CARD MÀN HÌNH MSI GEFORCE RTX 4070 TI SUPRIM 12G,29.900.000Đ,27.890.000Đ
CARD MÀN HÌNH MSI GEFORCE RTX 4070 TI SUPRIM X 12GB,33.990.000Đ,27.990.000Đ
CARD MÀN HÌNH ASUS ROG STRIX RTX 4070 TI O12G,35.990.000Đ,25.900.000Đ
CARD MÀN HÌNH INNO3D GEFORCE RTX 3050 6GB TWIN X2 GDDR6,5.390.000Đ,4.990.000Đ
CARD MÀN HÌNH COLORFUL IGAME GEFORCE RTX 4080 16GB VULCAN OC,49.570.000Đ,44.570.000Đ
CARD MÀN HÌNH ZOTAC GAMING GEFORCE RTX 3060 TWIN EDGE 12G,25.500.000Đ,7.490.000Đ
CARD MÀN HÌNH ASUS ROG STRIX GEFORCE RTX™ 4060 OC EDITION 8GB GDDR6,12.500.000Đ,10.990.000Đ
CARD MÀN HÌNH MSI GEFORCE RTX™ 4060 TI VENTUS 3X 8G OC,13.600.000Đ,12.990.000Đ
CARD MÀN HÌNH GALAX GEFORCE RTX 4070 12G 1-CLICK OC 2X,15.990.000Đ,14.990.000Đ
CARD MÀN HÌNH MSI GEFORCE RTX 4090 GAMING X TRIO 24G,58.900.000Đ,56.900.000Đ
CARD MÀN HÌNH MSI GEFORCE RTX 4070 GAMING X SLIM WHITE 12G,21.000.000Đ,19.390.000Đ
CARD MÀN HÌNH ASUS PROART RTX 4070 TI SUPER 16GB GDDR6X OC EDITION,30.190.000Đ,28.900.000Đ
CARD MÀN HÌNH ASUS ROG STRIX RTX 4080 SUPER 16GB GDDR6X WHITE OC EDITION,42.990.000Đ,37.900.000Đ
CARD MÀN HÌNH ASUS DUAL RTX 4070 SUPER OC EDITION 12GB GDDR6X,21.990.000Đ,20.730.000Đ
CARD MÀN HÌNH ASUS ROG STRIX GEFORCE RTX 4070 SUPER 12GB GDDR6X OC EDITION,24.990.000Đ,23.990.000Đ
CARD MÀN HÌNH ASUS ROG STRIX GEFORCE RTX 4090 OC WHITE EDITION 24GB GDDR6X,69.000.000Đ,61.900.000Đ
CARD MÀN HÌNH GIGABYTE RTX 4070 SUPER EAGLE OC 12G,22.290.000Đ,20.990.000Đ
CARD MÀN HÌNH GIGABYTE AORUS GEFORCE RTX™ 4060 ELITE 8GB,11.960.000Đ,10.990.000Đ
CARD MÀN HÌNH ASUS ROG STRIX GEFORCE RTX™ 4060 OC EDITION 8GB GDDR6,12.500.000Đ,10.990.000Đ
CARD MÀN HÌNH MSI GEFORCE RTX™ 4060 TI GAMING X TRIO 8G,14.900.000Đ,13.690.000Đ
CARD MÀN HÌNH ASUS DUAL GEFORCE RTX 4060 TI OC EDITION 16GB GDDR6,14.990.000Đ,14.550.000Đ
CARD MÀN HÌNH GIGABYTE GEFORCE RTX™ 4060 AERO OC 8GB,11.260.000Đ,10.990.000Đ
CARD MÀN HÌNH MSI GEFORCE RTX™ 4060 VENTUS 2X BLACK 8G OC,9.800.000Đ,8.490.000Đ
CARD MÀN HÌNH MSI GEFORCE RTX™ 4060 GAMING X 8G,10.490.000Đ,9.350.000Đ
CARD MÀN HÌNH ASUS TUF GAMING GEFORCE RTX 4060 TI 8GB GDDR6 OC EDITION,13.290.000Đ,12.890.000Đ
CARD MÀN HÌNH GIGIABYTE GEFORCE RTX™ 4060 GAMING OC 8GB,10.980.000Đ,10.250.000Đ
CARD MÀN HÌNH ASUS DUAL GEFORCE RTX 4060 TI 16GB GDDR6,14.590.000Đ,13.900.000Đ
CARD MÀN HÌNH GIGABYTE GEFORCE RTX­­ 4060 TI GAMING OC 8GB,14.990.000Đ,12.900.000Đ
CARD MÀN HÌNH LEADTEK RTX 4000 ADA GENERATION 20GB GDDR6,47.990.000Đ,45.290.000Đ
CARD MÀN HÌNH ASUS ROG STRIX RTX 4080 SUPER 16GB GDDR6X WHITE OC EDITION,42.990.000Đ,37.900.000Đ
CARD MÀN HÌNH COLORFUL IGAME RTX 4080 SUPER VULCAN W OC 16GB-V,37.990.000Đ,36.990.000Đ
CARD MÀN HÌNH ZOTAC GAMING RTX 4070 SUPER TWIN EDGE OC 12GB GDDR6X,16.990.000Đ,16.300.000Đ
CARD MÀN HÌNH ASROCK AMD RADEON RX 7600 STEEL LEGEND 8GB OC,10.300.000Đ,8.300.000Đ
