Name,Product Name,Original Price,Discounted Price
"CPU INTEL CORE I3-10100 (6M CACHE, 3.60 GHZ UP TO 4.30 GHZ, 4C8T, SOCKET 1200, COMET LAKE-S)",CPU INTEL CORE I3-10100,3.399.000,2.599.000
"CPU INTEL CORE I7-12700KF (25M CACHE, UP TO 5.00 GHZ, 12C20T, SOCKET 1700)",CPU INTEL CORE I7-12700KF,12.000.000,6.499.000
CPU INTEL CORE I7 13700K (INTEL LGA1700 - 16 CORE - 24 THREAD - BASE 3.4GHZ - TURBO 5.4GHZ - CACHE 30MB),CPU INTEL CORE I7 13700K,15.999.000,9.599.000
CPU INTEL CORE I9 13900KS (INTEL LGA1700 - 24 CORE - 32 THREAD - BASE 3.0GHZ - TURBO 5.8GHZ - CACHE 36MB),CPU INTEL CORE I9 13900KS,21.999.000,18.499.000
"CPU AMD RYZEN THREADRIPPER 7980X (256M CACHE, UP TO 5.1GHZ, 64C128T, SOCKET STR5)",CPU AMD RYZEN THREADRIPPER 7980X,179.999.000,141.899.000
CPU AMD RYZEN 5 8600G (AMD AM5 - 6 CORE - 12 THREAD - BASE 4.3GHZ - TURBO 5.0GHZ - CACHE 22MB),CPU AMD RYZEN 5 8600G,7.999.000,5.289.000
CPU INTEL CORE ULTRA 7 265KF (INTEL LGA1851 - 20 CORE - 20 THREAD - BASE 3.3GHZ - TURBO 5.5GHZ - CACHE 30MB - NO IGPU),CPU INTEL CORE ULTRA 7 265KF,14.999.000,11.299.000
CPU INTEL CORE I5 10400F (INTEL LGA1200 - 6 CORE - 12 THREAD - BASE 2.9GHZ - TURBO 4.3GHZ - CACHE 12MB - NO IGPU),CPU INTEL CORE I5 10400F,4.499.000,2.799.000
CPU INTEL CORE I9 12900K (INTEL LGA1700 - 16 CORE - 24 THREAD - BASE 3.2GHZ - TURBO 5.2GHZ - CACHE 30MB),CPU INTEL CORE I9 12900K,20.000.000,10.599.000
CPU INTEL PENTIUM GOLD G6405 (INTEL LGA1200 - 2 CORE - 4 THREAD - BASE 4.1GHZ - CACHE 4MB),CPU INTEL PENTIUM GOLD G6405,2.599.000,1.799.000
CPU INTEL CORE I5 13600K (INTEL LGA1700 - 14 CORE - 20 THREAD - BASE 3.5GHZ - TURBO 5.3GHZ - CACHE 24MB),CPU INTEL CORE I5 13600K,10.999.000,6.999.000
CPU AMD RYZEN 5 7600 (AMD AM5  - 6 CORE - 12 THREAD - BASE 3.8GHZ - TURBO 5.1GHZ - CACHE 38MB),CPU AMD RYZEN 5 7600,6.999.000,5.249.000
"CPU AMD RYZEN THREADRIPPER PRO 7975WX (128M CACHE, UP TO 5.3GHZ, 32C64T, SOCKET STR5)",CPU AMD RYZEN THREADRIPPER PRO 7975WX,139.999.000,110.799.000
CPU AMD RYZEN 7 5700X3D (AMD AM4 - 8 CORE - 16 THREAD - BASE 3.0GHZ - TURBO 4.1GHZ - CACHE 100MB),CPU AMD RYZEN 7 5700X3D,7.999.000,6.499.000
CPU INTEL CORE I5 13600KF (INTEL LGA1700 - 14 CORE - 20 THREAD - BASE 3.5GHZ - TURBO 5.3GHZ - CACHE 24MB - NO IGPU),CPU INTEL CORE I5 13600KF,9.899.000,6.099.000
