Product Name,Original Price HaComp,Discounted Price HaComp,Original Price AnPhat,Discounted Price AnPhat,Original Price NguyenCongPC,Discounted Price NguyenCongPC,Score,Normalized Score (%)
CPU INTEL CORE I9 13900K,,,,,16.490.000Đ,8.990.000Đ,,
CPU INTEL CORE I9 13900K,,,,,16.490.000Đ,8.990.000Đ,,
CPU INTEL CORE I9 13900K,,,,,16.490.000Đ,8.990.000Đ,,
CPU INTEL CORE I9 13900K,,,,,16.490.000Đ,8.990.000Đ,,
CPU INTEL CORE I9 13900K,,,,,16.490.000Đ,8.990.000Đ,,
CPU INTEL CORE I9 13900K,,,,,16.490.000Đ,8.990.000Đ,,
CPU INTEL CORE I9 13900KS,,,21.999.000,18.499.000,,,,
CPU INTEL CORE I9 13900KS,,,21.999.000,18.499.000,,,,
CPU INTEL CORE I9 14900,,,18.999.000,15.399.000,,,,
CPU INTEL CORE I9 14900F,,,16.999.000,14.999.000,15.650.000Đ,14.890.000Đ,,
CPU INTEL CORE I9 14900F,,,16.999.000,14.999.000,15.650.000Đ,14.890.000Đ,,
CPU INTEL CORE I9 14900K,,,19.999.000,13.599.000,,,,
CPU INTEL CORE I9 14900KF,,,18.999.000,12.499.000,15.990.000Đ,9.990.000Đ,,
CPU INTEL CORE I9 14900KS,,,,,22.990.000Đ,19.990.000Đ,,
CPU INTEL CORE I9-10900X,0,15.599.000₫,,,,,,
CPU INTEL CORE I9-10920X,0,19.999.000₫,,,,,,
CPU INTEL CORE I9-10940X,0,23.999.000₫,,,,,,
CPU INTEL CORE I9-11900F,,,,,12.190.000Đ,7.990.000Đ,,
CPU INTEL CORE I9-12900,14.099.000₫,12.399.000₫,13.999.000,10.999.000,,,,
CPU INTEL CORE I9-12900F,0,11.799.000₫,,,,,,
CPU INTEL CORE I9-12900K,15.999.000₫,10.599.000₫,,,,,,
CPU INTEL CORE I9-12900KF,14.399.000₫,10.999.000₫,18.500.000,9.699.000,8.900.000Đ,6.500.000Đ,,
CPU INTEL CORE I9-12900KS,20.999.000₫,12.599.000₫,16.999.000,11.999.000,,,,
CPU INTEL CORE I9-13900,17.599.000₫,15.199.000₫,16.499.000,15.199.000,,,,
CPU INTEL CORE I9-13900F,16.999.000₫,14.999.000₫,15.999.000,14.999.000,16.990.000Đ,14.600.000Đ,,
CPU INTEL CORE I9-13900K,17.999.000₫,13.299.000₫,,,,,,
CPU INTEL CORE I9-13900KF,17.199.000₫,12.499.000₫,,,15.690.000Đ,14.290.000Đ,,
CPU INTEL CORE I9-13900KF,17.199.000₫,12.499.000₫,,,15.690.000Đ,14.290.000Đ,,
CPU INTEL CORE I9-13900KS,21.999.000₫,18.499.000₫,,,,,,
CPU INTEL CORE I9-14900,16.099.000₫,15.399.000₫,,,16.390.000Đ,15.550.000Đ,,
CPU INTEL CORE I9-14900F,15.399.000₫,14.999.000₫,,,,,,
CPU INTEL CORE I9-14900K,17.999.000₫,13.599.000₫,,,,,,
CPU INTEL CORE I9-14900KF,17.999.000₫,12.499.000₫,,,,,,
CPU INTEL CORE I9-14900KS,19.999.000₫,18.499.000₫,,,,,,
CPU INTEL CORE ULTRA 5 245K,9.999.000₫,8.999.000₫,,,8.990.000Đ,6.990.000Đ,,
CPU INTEL CORE ULTRA 5 245K,9.999.000₫,8.999.000₫,,,8.990.000Đ,6.990.000Đ,,
CPU INTEL CORE ULTRA 5 245K,9.999.000₫,8.999.000₫,,,8.990.000Đ,6.990.000Đ,,
CPU INTEL CORE ULTRA 5 245K,9.999.000₫,8.999.000₫,,,8.990.000Đ,6.990.000Đ,,
CPU INTEL CORE ULTRA 5 245K,9.999.000₫,8.999.000₫,,,8.990.000Đ,6.990.000Đ,,
CPU INTEL CORE ULTRA 5 245K,9.999.000₫,8.999.000₫,,,8.990.000Đ,6.990.000Đ,,
CPU INTEL CORE ULTRA 5 245K,9.999.000₫,8.999.000₫,,,8.990.000Đ,6.990.000Đ,,
CPU INTEL CORE ULTRA 5 245KF,9.999.000₫,8.499.000₫,,,,,,
CPU INTEL CORE ULTRA 7 265K,12.999.000₫,11.999.000₫,,,11.790.000Đ,8.990.000Đ,,
CPU INTEL CORE ULTRA 7 265K,12.999.000₫,11.999.000₫,,,11.790.000Đ,8.990.000Đ,,
CPU INTEL CORE ULTRA 7 265K,12.999.000₫,11.999.000₫,,,11.790.000Đ,8.990.000Đ,,
CPU INTEL CORE ULTRA 7 265K,12.999.000₫,11.999.000₫,,,11.790.000Đ,8.990.000Đ,,
CPU INTEL CORE ULTRA 7 265K,12.999.000₫,11.999.000₫,,,11.790.000Đ,8.990.000Đ,,
CPU INTEL CORE ULTRA 7 265K,12.999.000₫,11.999.000₫,,,11.790.000Đ,8.990.000Đ,,
CPU INTEL CORE ULTRA 7 265K,12.999.000₫,11.999.000₫,,,11.790.000Đ,8.990.000Đ,,
CPU INTEL CORE ULTRA 7 265KF,12.199.000₫,11.599.000₫,14.999.000,11.299.000,,,,
CPU INTEL CORE ULTRA 7 265KF,12.199.000₫,11.599.000₫,14.999.000,11.299.000,,,,
CPU INTEL CORE ULTRA 9 285K,17.999.000₫,17.699.000₫,,,17.490.000Đ,14.590.000Đ,,
CPU INTEL CORE ULTRA 9 285K,17.999.000₫,17.699.000₫,,,17.490.000Đ,14.590.000Đ,,
CPU INTEL CORE ULTRA 9 285K,17.999.000₫,17.699.000₫,,,17.490.000Đ,14.590.000Đ,,
CPU INTEL CORE ULTRA 9 285K,17.999.000₫,17.699.000₫,,,17.490.000Đ,14.590.000Đ,,
CPU INTEL CORE ULTRA 9 285K,17.999.000₫,17.699.000₫,,,17.490.000Đ,14.590.000Đ,,
CPU INTEL CORE ULTRA 9 285K,17.999.000₫,17.699.000₫,,,17.490.000Đ,14.590.000Đ,,
CPU INTEL CORE ULTRA 9 285K,17.999.000₫,17.699.000₫,,,17.490.000Đ,14.590.000Đ,,
CPU INTEL PENTIUM GOLD G6400,,,,,2.090.000Đ,1.790.000Đ,,
CPU INTEL PENTIUM GOLD G6405,0,1.799.000₫,2.599.000,1.799.000,2.090.000Đ,1.990.000Đ,,
CPU INTEL PENTIUM GOLD G6405,0,1.799.000₫,2.599.000,1.799.000,2.090.000Đ,1.990.000Đ,,
CPU INTEL PENTIUM GOLD G7400,,,2.399.000,2.299.000,,,,
CPU INTEL PENTIUM GOLD G7400,,,2.399.000,2.299.000,,,,
CPU INTEL XEON E5-2660 V2,,,,,3.300.000Đ,500.000Đ,,
CPU INTEL XEON E5-2689,,,,,2.900.000Đ,450.000Đ,,
CPU INTEL XEON E5-2696 V2 / 2.5GHZ / 30MB / 12 CORE / 24 THREAD / SOCKET 2011,,,,,3.300.000Đ,1.090.000Đ,,
CPU INTEL XEON E5-2696 V2 / 2.5GHZ / 30MB / 12 CORE / 24 THREAD / SOCKET 2011,,,,,3.300.000Đ,1.090.000Đ,,
CPU INTEL XEON E5-2696 V4 2.20 GHZ / 55MB / 22 CORE / 44 THREAD / SOCKET 2011-3,,,,,36.000.000Đ,4.990.000Đ,,
CPU INTEL XEON GOLD 6148,,,,,6.990.000Đ,4.990.000Đ,,
CPU INTEL XEON PLATINUM 8163,,,,,29.900.000Đ,12.990.000Đ,,
CPU INTEL XEON PLATINUM 8163,,,,,29.900.000Đ,12.990.000Đ,,
CPU INTEL XEON PLATINUM 8168,,,,,50.900.000Đ,11.990.000Đ,,
CPU INTEL XEON PLATINUM 8168,,,,,50.900.000Đ,11.990.000Đ,,
CPU INTEL XEON PLATINUM 8280 PROCESSOR,,,,,299.000.000Đ,285.000.000Đ,,
CPU INTEL XEON PROCESSOR E5-2678 V3,,,,,690.000Đ,590.000Đ,,
CPU INTEL XEON PROCESSOR E5-2678 V3,,,,,690.000Đ,590.000Đ,,
CPU INTEL XEON PROCESSOR E5-2699 V4,,,,,9.990.000Đ,4.990.000Đ,,
CPU INTEL XEON PROCESSOR E5-2699 V4,,,,,9.990.000Đ,4.990.000Đ,,
INTEL XEON E5-2699 V3,,,,,18.500.000Đ,1.690.000Đ,,
INTEL XEON E5-2699 V3,,,,,18.500.000Đ,1.690.000Đ,,
INTEL XEON PROCESSOR E5-2680 V4,,,,,5.000.000Đ,690.000Đ,,
